Urutan;Provinsi;Jumlah Penduduk;Persentase
1;Jawa Barat;48037600;18.3
2;Jawa Timur;39293000;15.0
3;Jawa Tengah;34257900;13.1
4;Sumatera Utara;14262100;5.4
5;Banten;12448200;4.8
6;DKI Jakarta;10374200;4.0
7;Sulawesi Selatan;8690300;3.3
8;Lampung;8289600;3.2
9;Sumatera Selatan;8267000;3.2
10;Riau;6657900;2.5
11;Sumatera Barat;5321500;2.0
12;Nusa Tenggara Timur;5287300;2.0
13;Aceh;5189500;2.0
14;Nusa Tenggara Barat;4955600;1.9
15;Kalimantan Barat;4932500;1.9
16;Bali;4246500;1.6
17;Kalimantan Selatan;4119800;1.6
18;DI Yogyakarta;3762200;1.4
19;Kalimantan Timur;3575400;1.4
20;Jambi;3515000;1.3
21;Papua;3265200;1.2
22;Sulawesi Tengah;2966300;1.1
23;Kalimantan Tengah;2605300;1.0
24;Sulawesi Tenggara;2602400;1.0
25;Sulawesi Utara;2461000;0.9
26;Kepulauan Riau;2082700;0.8
27;Bengkulu;1934300;0.7
28;Maluku;1744700;0.7
29;Kepulauan Bangka Belitung;1430900;0.5
30;Sulawesi Barat;1331000;0.5
31;Maluku Utara;1209300;0.5
32;Gorontalo;1168200;0.4
33;Papua Barat;915400;0.3
34;Kalimantan Utara;691100;0.3
